Title,Primary Author,Publication,Date,Media,Page Count,Collections,ISBN,ISBNs,Copies
Birds Without Wings,"De Bernières, Louis","Vintage (2005), Edition: Reprint, 576 pages",2005,Paperback,576 ,Your library,[9781400079322],"[9781400079322, 1400079322]",1
"Plant Witchery: Discover the Sacred Language, Wisdom, and Magic of over 200 Plants","Diaz, Juliet",,,Paperback,,Your library,[1401962319],"[1401962319, 9781401962319]",1
Witchery: Embrace the Witch Within,"Diaz, Juliet","Hay House Inc. (2019), Edition: Illustrated, 272 pages",2019,Paperback,272 ,Your library,[1788172043],"[1788172043, 9781788172042]",1
Do Androids Dream Of Electric Sheep?: The inspiration behind Blade Runner and Blade Runner 2049,"Dick, Philip K.","W&N (2012), Edition: 01, 208 pages",2012,Paperback,208 ,Your library,[9781780220383],"[9781780220383, 1780220383]",1
The Man in the High Castle,"Dick, Philip K.","Gardners Books (2001), 249 pages",2001,Paperback,249 ,Your library,[9780141186672],"[9780141186672, 0141186674]",1
Oliver Twist (Wordsworth Classics),"Dickens, Charles","Wordsworth Editions Ltd (1997), 400 pages",1997,Paperback,400 ,Your library,[1853260126],"[1853260126, 9781853260124]",1
A Tale of Two Cities (Oxford World's Classics),"Dickens, Charles","Oxford University Press (2008), Edition: Reissue, 560 pages",2008,Paperback,560 ,Your library,[0199536236],"[0199536236, 9780199536238]",1
Great Expectations (Oxford World's Classics Hardcovers),"Dickens, Charles","Oxford University Press (1999), 519 pages",1999,Hardcover,519 ,Your library,[0192100343],"[0192100343, 9780192100344]",1
Bleak House,"Dickens, Charles","Penguin Classics (1996), 1088 pages",1997,Paperback,1088 ,Your library,[0140434968],"[0140434968, 9780140434965]",1
David Copperfield (Oxford World's Classics),"Dickens, Charles","Oxford University Press (2008), Edition: 1, 944 pages",2008,Paperback,944 ,Your library,[0199536295],"[0199536295, 9780199536290]",1
The Old Curiosity Shop (Penguin Classics),"Dickens, Charles","Penguin Classics (2001), Edition: Reissue, 608 pages",2001,Paperback,608 ,Your library,[9780140437423],"[9780140437423, 0140437428]",1
Penguin Classics Bleak House,"Dickens, Charles","Penguin Classic (1996), Edition: New edition, 1024 pages",1996,Paperback,1088 ,Your library,[0140434968],"[0140434968, 9780140434965]",1
Halo: The Flood,"Dietz, William C.","Tor Books (2010), 400 pages",2010,Paperback,400 ,Your library,[076532833X],"[076532833X, 9780765328335]",1
"Sew Step by Step: How to use your sewing machine to make, mend, and customize",DK,"DK (2020), 224 pages",2020,Hardcover,224 ,Your library,[0241412404],"[0241412404, 9780241412404]",1
The Real Story & Forbidden Knowledge: The Gap Cycle 1 & 2: The Gap Sequence: v. 1,"Donaldson, Stephen","Gollancz (2008), Edition: paperback / softback, 544 pages",2008,Paperback,544 ,Your library,[0575083344],"[0575083344, 9780575083349]",1
The Ultimate LEGO Book (The Ultimate),Dorling Kindersley,"Penguin Books Ltd (1999), 128 pages",1999,Hardcover,128 ,"Your library, Read - keep",[0751359483],"[0751359483, 9780751359480]",1
The Original Illustrated Sherlock Holmes,"Doyle, Arthur Conan","Castle Books (2009), Edition: 1st, 636 pages",1976,Hardcover,636 ,Your library,[9780890090572],"[9780890090572, 0890090572]",1
Dragonology,"Dr, Drake. E.","The Five Mile Press, 30 pages",?,Hardcover,30 ,Your library,[1741240433],"[1741240433, 9781741240436]",1
Close Encounters Of The Third Kind,"Dreyfuss, Richard",(2012),2012,Streaming video,,Your library,,,1
"Superfreakonomics: Global Cooling, Patriotic Prostitutes and Why Suicide Bombers Should Buy Life Insurance","Dubner, Stephen J.","Penguin (2015), 320 pages",2015,Paperback,,"Your library, Read - keep, Science/Math/Engineering",[0141982446],"[0141982446, 9780141982441]",1
"Deadly Sounds, Deadly Places: Contemporary Aboriginal Music in Australia","Dunbar-Hall, Peter","University of New South Wales Press (2004), 296 pages",2004,Paperback,,Your library,[0868406228],"[0868406228, 9780868406220]",1
Pagan Virtues: Poems,"Dunn, Stephen","W. W. Norton & Company (2021), 112 pages",2021,Paperback,112 ,Your library,[0393868443],"[0393868443, 9780393868449]",1
sum,"Eagleman, David","Canongate Books Ltd (2009), Edition: Main, 128 pages",2009,Paperback,128 ,Your library,[1847674275],"[1847674275, 9781847674272]",1
The Name of the Rose,"Eco, Umberto","Warner Books (1986), 611 pages",1986,Paperback,611 ,Your library,[0446344109],"[0446344109, 9780446344104]",1
Baudolino,"Eco, Umberto","Vintage Books (2010), Edition: Reprint, 512 pages",2010,Paperback,528 ,Your library,[9780099422396],"[9780099422396, 0099422395]",1
The Prague Cemetery,"Eco, Umberto",Vintage (2012),2012,Paperback,,Your library,[9780099555988],"[9780099555988, 0099555980]",1
Quilted Planet: A Sourcebook of Quilts from Around the World,"Eddy, Celia","Mitchell Beazley (2005), Edition: 01, 224 pages",2005,Hardcover,224 ,"Your library, Reference",[1845330099],"[1845330099, 9781845330095]",1
Middlemarch (Penguin Classics),"Eliot, George","Penguin Classics (2003), Edition: Revised, 880 pages",2003,Paperback,880 ,Your library,[0141439548],"[0141439548, 9780141439549]",1
The Signature of All Things,"Elizabeth, Gilbert","Bloomsbury Publishing PLC (2015), Edition: Export/Airside ed",2015,Paperback,,Your library,[1408841908],"[1408841908, 9781408841907]",1
Nature and Selected Essays (Penguin Classics),"Emerson, Ralph Waldo","Penguin Classics (2003), Edition: Reissue, 416 pages",2003,Paperback,416 ,Your library,[9780142437629],"[9780142437629, 014243762X]",1
Everyday Tarot: Unlock Your Inner Wisdom and Manifest Your Future,"Esselmont, Brigit","Running Press Adult (2018), Edition: Illustrated, 216 pages",2018,Hardcover,216 ,Your library,[0762492805],"[0762492805, 9780762492800]",1
Pastels Unleashed,"Evans, Margaret","Search Press (2014), Edition: Illustrated, 144 pages",2014,Paperback,144 ,Your library,[1844489086],"[1844489086, 9781844489084]",1
"The Runes Box: Tools to Connect You to The Magic of The Universe - Contains: A Guide to Reading Runes and 36 Cards for Divination and Rune Magic (Volume 1) (Mindful Practice Deck, 1)","Eversden, Lona","Wellfleet (2021), 96 pages",2021,Hardcover,96 ,Your library,[1577152360],"[1577152360, 9781577152361]",1
Cathedral of the Sea: A Novel,"Falcones, Ildefonso","Berkley (2009), Edition: Reprint, 624 pages",2009,Paperback,624 ,Your library,[0451225996],"[0451225996, 9780451225993]",1
THE BEST OF FAULKNER: Chosen By the Author,"Faulkner, William","Reprint Society (1955), Edition: First Edition, 319 pages",1955,Hardcover,,Your library,,,1
Tips for Quilters,FC&A Publishing,"F C & A Pub (1995), 352 pages",1995,Hardcover,352 ,"Your library, Reference",[0915099756],"[0915099756, 9780915099757]",1
Ghost Empire,"Fidler, Richard",ABC Books,,Paperback,,Your library,[0733338550],"[0733338550, 9780733338557]",1
Screenplay: The Foundations of Screenwriting,"Field, Syd","Delta (2005), Edition: Revised, 320 pages",2005,Paperback,320 ,Your library,[9780385339032],"[9780385339032, 0385339038]",1
Not Wanted on the Voyage (Arena Books),"Findley, Timothy","Arena Arrow (1986), Edition: New edition",1986,Paperback,,Your library,[0099480700],"[0099480700, 9780099480709]",1
It Devours!: A Night Vale Novel,"Fink, Jeffrey Cranor Joseph",Orbit (2017),2017,Paperback,,Your library,[035650865X],"[035650865X, 9780356508658]",1
The Great Gatsby,"Fitzgerald, F. Scott","Scribner (2004), 180 pages",2004,Paperback,192 ,Your library,[0743273567],"[0743273567, 9780743273565]",1
Madame Bovary (Penguin Classics),"Flaubert, Gustave","Penguin Classics (2002), Edition: Revised, 384 pages",2002,Paperback,384 ,Your library,[0140449124],"[0140449124, 9780140449129]",1
Habitus,"Flint, James","Fourth Estate (1998), Edition: First Edition, 480 pages",1998,Paperback,480 ,Your library,[1857028686],"[1857028686, 9781857028683]",1
Chapter One,"Flynn, Daniel",The Messenger Group,,Paperback,,"Your library, Science/Math/Engineering",[0994310978],"[0994310978, 9780994310972]",1
Gone Girl,"Flynn, Gillian","W&N (2013), 512 pages",2013,Paperback,512 ,Your library,[9780753827666],"[9780753827666, 0753827662]",1
Extremely Loud and Incredibly Close (Film Tie in),"Foer, Jonathan Safran","Penguin (2012), Edition: 01, 368 pages",2012,Paperback,,Your library,[0241957605],"[0241957605, 9780241957608]",1
Fall of Giants,"Follett, Ken","Dutton / Penguin (2010), Edition: 1, 864 pages",2010,Hardcover,864 ,Your library,[0230710077],"[0230710077, 9780230710078]",1
Winter of the World,"Follett, Ken","Macmillan, Edition: UK Airside and Open market ed",?,Paperback,,Your library,[0230770169],"[0230770169, 9780230770164]",1
Edge of Eternity (The Century Trilogy),"Follett, Ken","Pan Macmillan (2014), Edition: Main Market Ed.",2014,Hardcover,,Your library,[0230710166],"[0230710166, 9780230710160]",1
World Without End,"Follett, Ken","Pan Books/Macmillan (2008), Edition: Unabridged, 1200 pages",2008,Paperback,1248 ,Your library,[0330490702],"[0330490702, 9780330490702]",1
Pillars Of The Earth,"Follett, Ken","New American Library (2007), Edition: 59373rd, 1100 pages",2007,Paperback,1100 ,Your library,[0330450131],"[0330450131, 9780330450133]",1
"The Evening and the Morning: The Prequel to The Pillars of the Earth, A Kingsbridge Novel","Follett, Ken","Macmillan (2020), Edition: 01, 832 pages",2020,Hardcover,832 ,Your library,[144727878X],"[144727878X, 9781447278788]",1
Lieutenant Hornblower,"Forester, C. S.","Back Bay Books (1984), 306 pages",1984,Paperback,306 ,Your library,[0316289213],"[0316289213, 9780316289214]",1
A Room with a View (Penguin Classics),"Forster, E. M.","Penguin Classics (2000), Edition: 5th, 240 pages",2000,Paperback,240 ,Your library,[9780141183299],"[9780141183299, 0141183292]",1
Star Wars: The Force Awakens,"Foster, Alan Dean","Century (2016), Edition: Media tie-in, 272 pages",2016,Paperback,272 ,Your library,[9781780894775],"[9781780894775, 1780894775]",1
Our Planet,"Fothergill, Alastair","Ten Speed Press (2019), Edition: Media Tie In, 320 pages",2019,Hardcover,320 ,Your library,[0399581545],"[0399581545, 9780399581540]",1
Possum Magic,"Fox, Gem","Omnibus books (1999), Edition: Reprint",1999,Paperback,32 ,Your library,[1862910952],"[1862910952, 9781862910959]",1
Diary of a Young Girl: The Definitive Edition (Penguin Modern Classics),"Frank, Otto H.","Penguin Books, Limited (UK) (2000), Edition: The Definitive Ed, 368 pages",2000,Paperback,368 ,Your library,[014118275X],"[014118275X, 9780141182759]",1
My Brilliant Career,"Franklin, Miles",Angus & Robertson (1986),1986,Paperback,,Your library,[0207142424],"[0207142424, 9780207142420]",1
Samuel Johnson and the Life of Writing,"Fussell, Paul","W. W. Norton and Company, Inc. (1986), 320 pages",1986,Paperback,320 ,Your library,[039330258X],"[039330258X, 9780393302585]",1
Neverwhere: The Author's Preferred Text,"Gaiman, Neil","Hodder Headline (2005), 372 pages",2005,Paperback,400 ,Your library,[9780755322800],"[9780755322800, 0755322800]",1
The View from the Cheap Seats: Selected Nonfiction,"Gaiman, Neil","Headline (2017), Edition: 01, 544 pages",2017,Paperback,544 ,Your library,[1472208021],"[1472208021, 9781472208026]",1
The Ocean at the End of the Lane,"Gaiman, Neil","Headline (2014), 272 pages",2014,Paperback,272 ,Your library,[1472200349],"[1472200349, 9781472200341]",1
American Gods: the author's preferred text,"Gaiman, Neil","Headline (2005), Edition: 01, 752 pages",2005,Paperback,752 ,Your library,[0755322819],"[0755322819, 9780755322817]",1
Norse Mythology,"Gaiman, Neil","Bloomsbury (2017), Edition: First Edition",2017,Paperback,,Your library,[1408886804],"[1408886804, 9781408886809]",1
Good Omens,"Gaiman, Neil","Corgi (2011), 416 pages",2011,Paperback,416 ,Your library,[0552159840],"[0552159840, 9780552159845]",1
Darkest Days,"Gallon, Stan","Macmillan Publishers Ltd (2007), 528 pages",2007,Paperback,,Your library,[0230015999],"[0230015999, 9780230015999]",1
The Beach (Popular Penguins),"Garland, Alex","Penguin Books Ltd (2008), Edition: export ed",2008,Paperback,,Your library,[014103758X],"[014103758X, 9780141037585]",1
The Worlds of J.R.R. Tolkien: The Places that Inspired Middle-earth: 1,"Garth, John","Frances Lincoln (2020), Edition: 01, 208 pages",2020,Hardcover,208 ,Your library,[0711241279],"[0711241279, 9780711241275]",1
Edge of Glass: The spellbinding Irish gothic romance mystery,"Gaskin, Catherine","Wyndham Books (Romantic suspense) (2017), 269 pages",2017,Ebook,,Your library,,,1
"With My Body (P.S. (Paperback)) [ WITH MY BODY (P.S. (PAPERBACK)) BY Gemmell, Nikki ( Author ) Jun-19-2012","Gemmell, Nikki",Harper Perennial (2012),2012,Paperback,,Your library,[0007929919],"[0007929919, 9780007929917]",1
Dissolve,"Gemmell, Nikki","Hachette Australia (2022), 224 pages",2022,Hardcover,224 ,Your library,[0733646042],"[0733646042, 9780733646041]",1
Long Shot for Rosinante [The Rosinante Trilogy #2],"Gilliland, Alexis A.","PageTurner (2006), Edition: Reissue, 206 pages",2006,Ebook,,Your library,,,1
Faust - A Tragedy in Two Parts and the Urfaust (Wordsworth Classics of World Literature),"Goethe, Johann Wolfgang von","Wordsworth Editions Ltd (1999), 496 pages",1999,Paperback,496 ,Your library,[1840221151],"[1840221151, 9781840221152]",1
Lord of the Flies,"Golding, William","Faber & Faber (1973), Edition: Reprint, 176 pages",1973,Paperback,176 ,Your library,[9780571084838],"[9780571084838, 0571084834]",1
The Arbornaut,"Goodall, Jane",Allen & Unwin,,Paperback,,"Your library, Read - keep, Gardening, Geography",[1760876798],"[1760876798, 9781760876791]",1
The Wind in the Willows (Aladdin Classics),"Grahame, Kenneth","Aladdin (1999), 304 pages",1999,Paperback,304 ,Your library,[0689831404],"[0689831404, 9780689831409]",1
The Sunday Missal: Popular Edition (Blue Standard),"Grail, Psalms T",HarperCollins Publishers (1975),1975,Hardcover,,"Your library, Reference, Culture",[0005995078],"[0005995078, 9780005995075]",1
Talking to My Country,"Grant, Stan","Scribe UK (2016), 240 pages",2016,Ebook,,Your library,,,1
Hook,"Gravel, Geary","Arrow (1992), 128 pages",1992,Paperback,128 ,Your library,[0099134314],"[0099134314, 9780099134312]",1
The Complete Book of Drawing Manga,"Gray, Peter","Arcturus Publishing Limited (2012), 336 pages",2012,Paperback,336 ,Your library,[1841935093],"[1841935093, 9781841935096]",1
Let It Snow: Three Holiday Romances,"Green, John","Speak (2008), Edition: 47800th, 352 pages",2008,Paperback,352 ,Your library,[0142412147],"[0142412147, 9780142412145]",1
Looking for Alaska,"Green, John","Penguin Books (2008), Edition: Reissue, 227 pages",2008,Ebook,,Your library,,,1
An Abundance of Katherines,"Green, John","Penguin Books (2008), Edition: Reprint, 272 pages",2008,Paperback,272 ,Your library,[9780142410707],"[9780142410707, 0142410705]",1
The Fault in Our Stars,"Green, John","Penguin Books (2014), Edition: Reprint, 352 pages",2014,Paperback,352 ,Your library,[014242417X],"[014242417X, 9780142424179]",1
Paper Towns,"Green, John","Penguin Books (2009), Edition: Reprint, 305 pages",2009,Paperback,305 ,Your library,[9780142414934],"[9780142414934, 014241493X]",1
"Will Grayson, Will Grayson","Green, John","Speak (2011), Edition: Reprint, 310 pages",2011,Paperback,310 ,Your library,[0142418471],"[0142418471, 9780142418475]",1
"The Crystal Witch: The Magickal Way to Calm and Heal the Body, Mind, and Spirit (Volume 6) (The Modern-Day Witch)","Greenaway, Leanna","Sterling Ethos (2019), Edition: Illustrated, 304 pages",2019,Hardcover,304 ,Your library,[1454934689],"[1454934689, 9781454934684]",1
The Writing Book: A Practical Guide for Fiction Writers,"Grenville, Kate","Allen & Unwin (2011), 216 pages",2011,Paperback,216 ,Read - Donate,[1742373887],"[1742373887, 9781742373881]",1
Computing with Quantum Cats: From Colossus to Qubits,"Gribbin, John",Bantam Press,,Paperback,,Your library,[0593071158],"[0593071158, 9780593071151]",1
The Original Folk and Fairy Tales of the Brothers Grimm: The Complete First Edition,"Grimm, Jacob","Princeton University Press (2014), Edition: 1st, 568 pages",2014,Hardcover,568 ,Your library,[0691160597],"[0691160597, 9780691160597]",1
Bart Simpson's Treehouse of Horror Heebie-Jeebie Hullabaloo,"Groening, Matt","Harper Design (1999), Edition: Illustrated, 144 pages",1999,Paperback,144 ,Your library,[0060987626],"[0060987626, 9780060987626]",1
Bart Simpson's Treehouse of Horror Spine-Tingling Spooktacular,"Groening, Matt","Harper Design Intl (2001), Edition: 01, 139 pages",2001,Paperback,139 ,Your library,[0060937149],"[0060937149, 9780060937140]",1
"Knit Step by Step: Techniques, stitches, and patterns made easy","Haffenden, Vikki","DK (2020), 224 pages",2020,Hardcover,224 ,Your library,[0241412390],"[0241412390, 9780241412398]",1
Writing About Villains,"Hall, Rayne","CreateSpace Independent Publishing Platform (2015), 76 pages",2015,Paperback,76 ,Your library,[1519356404],"[1519356404, 9781519356406]",1
Booze for Free,"Hamilton, Andy","Eden Project (2011), 336 pages",2011,Hardcover,,Your library,[1905811705],"[1905811705, 9781905811700]",1
Deeplight,"Hardinge, Frances",MacMillan Childrens Books,,Paperback,,Your library,[1529014573],"[1529014573, 9781529014570]",1
Tess of the D'urbervilles,"Hardy, Thomas","CreateSpace Independent Publishing Platform (2017), 234 pages",2017,Paperback,234 ,Your library,[1503294056],"[1503294056, 9781503294059]",1
Far from the Madding Crowd/the Mayor of Casterbridge (Golden Heritage Series),"Hardy, Thomas",Gallery Books (1989),1989,Hardcover,,Your library,[086136600X],"[086136600X, 9780861366002]",1
"Very, very Pearlie","Harmer, Wendy","Milsons Point, N.S.W. : Random House Australia, 2005.",2005,Paper Book,,Your library,[9781741660081],"[9781741660081, 1741660084]",1
"Ten Things About Writing: Build Your Story, One Word at a Time","Harris, Joanne","September Publishing (2020), 230 pages",2020,Hardcover,230 ,Read - Donate,[1912836599],"[1912836599, 9781912836598]",1
A Brief History of Time,"Hawking, Stephen",The Folio Society (2016),2016,Hardcover,,Your library,[0593078039],"[0593078039, 9780593078037]",1
Brief Answers to the Big Questions,"Hawking, Stephen",JOHN MURRAY (2018),2018,Paperback,,Your library,[1473695988],"[1473695988, 9781473695986]",1
The Scarlet Letter (Classics),"Hawthorne, Nathaniel","Atlantic Publishing, Croxley Green (2012), 272 pages",2012,Paperback,,Your library,[1908533331],"[1908533331, 9781908533333]",1
Star Ship Troopers,"Heinlein, Robert A.",DAEDALUS (2013),2013,Paperback,,Your library,[1473636817],"[1473636817, 9781473636811]",1
For Whom the Bell Tolls (Classic Reprint),"Hemingway, Ernest","Forgotten Books (2017), 476 pages",2017,Paperback,476 ,Your library,[0243959699],"[0243959699, 9780243959693]",1
Children of Dune,"Herbert, Frank","NEW ENGLISH LIBRARY (1978), Edition: New Edition, 384 pages",1978,Paperback,384 ,Your library,[0450034275],"[0450034275, 9780450034275]",1
Chapter House Dune,"Herbert, Frank","New English Library (1986), Edition: First Edition, 480 pages",1986,Paperback,480 ,Your library,[0450058867],"[0450058867, 9780450058868]",1
Dune,"Herbert, Frank","Hodder Paperback (1982), Edition: 2nd Revised edition, 608 pages",1982,Paperback,608 ,Your library,[0450011844],"[0450011844, 9780450011849]",1
God Emperor of Dune by Frank. Herbert,"Herbert, Frank","Berkley Books (1982), Edition: 2, 464 pages",1982,Paperback,464 ,Your library,[0450052621],"[0450052621, 9780450052620]",1
Dune Messiah,"Herbert, Frank","Hodder & Stoughton Ltd (1972), Edition: 2nd New edition, 224 pages",1972,Paperback,224 ,Your library,[0450022854],"[0450022854, 9780450022852]",1
Heretics Of Dune (Heretics Of Dune Sequence),"Herbert, Frank","New English Library (1985), Edition: New Edition, 508 pages",1985,Paperback,508 ,Your library,[0450057771],"[0450057771, 9780450057779]",1
Venetia,"Heyer, Georgette Heyer Georgette","Cornerstone (2001), Edition: New Ed, 332 pages",2001,Paperback,332 ,Your library,[0099465655],"[0099465655, 9780099465652]",1
Sold - For a Spaceship,"High, Philip E.","Gateway (2011), 170 pages",2011,Ebook,,Your library,,,1
Sci-Fi Art: A Graphic History,"Holland, Steve","Harper Design (2009), Edition: Original, 192 pages",2009,Paperback,192 ,Your library,[0061684899],"[0061684899, 9780061684890]",1
The Odyssey,Homer,"Viking (1996), Edition: 1st, 541 pages",1996,Hardcover,541 ,Your library,[0670821624],"[0670821624, 9780670821624]",1
The Iliad (Collins Classics),Homer,"William Collins (2011), Edition: UK ed., 720 pages",2011,Paperback,720 ,Your library,[000790214X],"[000790214X, 9780007902149]",1
Furniture Making: A Manual of Techniques,"Hontoir, Anthony","Crowood Press (1994), 192 pages",1994,Paperback,,Your library,[1852238194],"[1852238194, 9781852238193]",1
House of Silk: The New Sherlock Holmes Novel,"Horowitz, Anthony","Orion Publishing Group (2011), 320 pages",2011,Paperback,,Your library,[9781409133834],"[9781409133834, 1409133834]",1
The Power of Five: Raven's Gate,"Horowitz, Anthony","Walker Books (2005), 255 pages",2010,Ebook,288 ,Your library,[1844286193],"[1844286193, 9781844286195]",1
The Power of Five: Evil Star,"Horowitz, Anthony","Walker Books (2010), 320 pages",2010,Ebook,320 ,Your library,[1844286207],"[1844286207, 9781844286201]",1
The Power of Five: Nightrise,"Horowitz, Anthony","Walker Books (2010), 380 pages",2010,Ebook,320 ,Your library,[1844286215],"[1844286215, 9781844286218]",1
Necropolis: City of the Dead (Power of Five),"Horowitz, Anthony",Walker Bks.,,Paperback,400 ,Your library,[140631854X],"[140631854X, 9781406318548]",1
"Oblivion (The Power of Five) by Horowitz, Anthony(October 4, 2012) Hardcover","Horowitz, Anthony",Walker Books Ltd,,Paper Book,,Your library,,,1
The Kite Runner,"Hosseini, Khaled","Bloomsbury Publishing PLC (2004), 336 pages",2004,Paperback,336 ,Your library,[0747566534],"[0747566534, 9780747566533]",1
Battlefield Earth Publisher: Galaxy Press (CA),"Hubbard, L. Ron",(2001),2001,Paperback,,Your library,,,1
Notre-Dame of Paris (The Hunchback of Notre Dame),"Hugo, Victor","Penguin Classics (1978), Edition: Revised ed., 496 pages",1978,Paperback,496 ,Your library,[9780140443530],"[9780140443530, 0140443533]",1
The Bone People (Picador Books),"Hulme, Keri","Picador (1986), Edition: New edition, 464 pages",1986,Paperback,450 ,Your library,[0330293877],"[0330293877, 9780330293877]",1
Brave New World Revisited,"Huxley, Aldous","VINTAGE (RAND) (2004), Edition: New Ed, 176 pages",2004,Paperback,208 ,Your library,[9780099458234],"[9780099458234, 0099458233]",1
Brave New World,"Huxley, Aldous","Flamingo / Harper Collins Publishers (1977), 208 pages",1977,Paperback,288 ,Your library,[0586044345],"[0586044345, 9780586044346]",1
How It Began: A Time-Traveler's Guide to the Universe,"Impey, Chris","W. W. Norton & Company (2012), Edition: 1, 448 pages",2012,Hardcover,,Your library,[0393080021],"[0393080021, 9780393080025]",1
The Legend of Sleepy Hollow,"Irving, Washington","Penguin Books Ltd (1999), 320 pages",1999,Paperback,320 ,Your library,[0140291040],"[0140291040, 9780140291049]",1
Steve Jobs: The Exclusive Biography,"Isaacson, Walter","Little, Brown Book Group (2011), Edition: 8, 568 pages",2011,Ebook,,"Your library, Biography",[1408703742],"[1408703742, 9781408703748]",1
GYO 2IN1 DLX ED HC: The Death Stench Creeps (Junji Ito),"Ito, Junji","Viz LLC (2015), Edition: 2-in-1 Deluxe Edition, 400 pages",2015,Hardcover,400 ,Your library,[1421579154],"[1421579154, 9781421579153]",1
The Turn of the Screw and The Aspern Papers (Penguin Classics),"James, Henry","Penguin Classics (2003), Edition: New ed., 272 pages",2003,Paperback,272 ,Your library,[0141439904],"[0141439904, 9780141439907]",1
How to Paint and Draw,"Jaxtheimer, Bodo W.","Thames and Hudson (1967), Edition: Fourth Impression",1967,Hardcover,,Your library,,,1
The Journeyer,"Jennings, Gary","Arrow Books Ltd (1985), 1232 pages",1985,Paperback,1232 ,Your library,[009937790X],"[009937790X, 9780099377900]",1
Good News Bible with Deuterocanonicals/Apocrypha (The Bible in Today's English Version) (The Bible in Today's English Version),John Francis Whealon,"AMERICAN BIBLE SOCIETY (1978), Edition: The Bible in Today's English Version, 413 pages",1978,Hardcover,413 ,"Your library, Reference, Culture",,,1
Star Trek: Discovery: Succession #1,"Johnson, Mike","IDW (2018), 34 pages",2018,Ebook,,Your library,,,1
Star Trek: Discovery: Succession #3,"Johnson, Mike","IDW (2018), 30 pages",2018,Ebook,,Your library,,,1
Star Trek: Discovery: Succession #2,"Johnson, Mike","IDW (2018), 33 pages",2018,Ebook,,Your library,,,1
Star Trek: Discovery: Succession #4,"Johnson, Mike","IDW (2018), 31 pages",2018,Ebook,,Your library,,,1
Ulysses,"Joyce, James","Vintage Classics (2012), 672 pages",2012,Paperback,672 ,Your library,[0099511193],"[0099511193, 9780099511199]",1
The Trial,"Kafka, Franz","Mandarin (1994), Edition: New edition, 256 pages",1994,Hardcover,256 ,Your library,[0749318570],"[0749318570, 9780749318574]",1
"Eureka Seven: Psalms of Planets, Vol. 6","Kataoka, Jinsei","Bandai Entertainment (2007), 184 pages",2007,Paperback,184 ,Your library,[1594097941],"[1594097941, 9781594097942]",1
"Eureka Seven: Psalms of Planets, Vol. 4","Kataoka, Jinsei","Bandai Entertainment (2007), 186 pages",2007,Paperback,186 ,Your library,[159409747X],"[159409747X, 9781594097478]",1
"Eureka Seven: Psalms of Planets, Vol. 3","Kataoka, Jinsei","Bandai Entertainment (2006), 184 pages",2006,Paperback,184 ,Your library,[1594096929],"[1594096929, 9781594096921]",1
"Eureka Seven: Psalms of Planets, Vol. 2","Kataoka, Jinsei","Bandai Entertainment (2006), 184 pages",2006,Paperback,184 ,Your library,[1594096910],"[1594096910, 9781594096914]",1
"Eureka Seven: Psalms of Planets, Vol. 1","Kataoka, Jinsei","Bandai Entertainment (2006), 161 pages",2006,Paperback,161 ,Your library,[1594096643],"[1594096643, 9781594096648]",1
Milk and Honey,"Kaur, Rupi",Andrews McMeel Publishing (2016),2016,Hardcover,,Your library,[1449483135],"[1449483135, 9781449483135]",1
The The Sun and Her Flowers: Rupi Kaur,"Kaur, Rupi","Simon & Schuster UK (2017), Edition: 01, 256 pages",2017,Paperback,256 ,Your library,[1471165825],"[1471165825, 9781471165825]",1
Before the coffee gets cold,"Kawaguchi, Toshikazu","Picador (2019), Edition: 01, 213 pages",2019,Paperback,213 ,Your library,[1529029589],"[1529029589, 9781529029581]",1
Oxford Companion To Ships & the Sea 1976,"Kemp, Peter",Oxford Univ Pr (1976),1976,Hardcover,,Your library,,,1
Schindler's List,"Keneally, Thomas",Sceptre (1994),1994,Paperback,432 ,Your library,[9780340606513],"[9780340606513, 0340606517]",1
On the road,"Kerouac, Jack","Penguin (2008), Edition: export ed",2008,Paperback,304 ,Your library,[0141037482],"[0141037482, 9780141037486]",1
The Road to Dune,Kevin J. Herbert Frank Brian & Anderson,"Hodder & Stoughton (2005), Edition: paperback / softback, 496 pages",2005,Paperback,496 ,Your library,[0340837454],"[0340837454, 9780340837450]",1
The Kew Book of Botanical Illustration,"King, Christabel","Search Press (2015), Edition: Illustrated, 128 pages",2015,Hardcover,128 ,Your library,[9781844489473],"[9781844489473, 1844489477]",1
It,"King, Stephen","CORONET (HODD) (1987), Edition: paperback / softback",1987,Paperback,1120 ,Your library,[0450411435],"[0450411435, 9780450411434]",1
Christine,"King, Stephen","New English Library Ltd (1984), Edition: New edition, 608 pages",1984,Paperback,608 ,Your library,[0450056740],"[0450056740, 9780450056741]",1
On Writing - A Memoir Of The Craft,"King, Stephen","Scribner (2000), Edition: First Trade Edition, 256 pages",2000,Hardcover,256 ,Your library,[0340769963],"[0340769963, 9780340769966]",1
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,"Kleon, Austin","Workman Publishing Company (2014), Edition: Illustrated, 224 pages",2014,Paperback,224 ,Your library,[076117897X],"[076117897X, 9780761178972]",1
"The Life-Changing Magic of Tidying: A simple, effective way to banish clutter forever","Kondo, Marie","Vermilion (2014), Edition: 01, 256 pages",2014,Paperback,256 ,"Your library, Read - keep, Reference, Design",[0091955106],"[0091955106, 9780091955106]",1
